NetPositionNetWiseDetailsV3,NetPositionNetWiseDetailsV3.Exch,NetPositionNetWiseDetailsV3.ExchType,NetPositionNetWiseDetailsV3.ScripCode,NetPositionNetWiseDetailsV3.ScripName,NetPositionNetWiseDetailsV3.BuyQty,NetPositionNetWiseDetailsV3.BuyAvgRate,NetPositionNetWiseDetailsV3.BuyValue,NetPositionNetWiseDetailsV3.SellQty,NetPositionNetWiseDetailsV3.SellAvgRate,NetPositionNetWiseDetailsV3.SellValue,NetPositionNetWiseDetailsV3.NetQty,NetPositionNetWiseDetailsV3.BookedPL,NetPositionNetWiseDetailsV3.LTP,NetPositionNetWiseDetailsV3.OrderFor,NetPositionNetWiseDetailsV3.BodQty,NetPositionNetWiseDetailsV3.PreviousClose,NetPositionNetWiseDetailsV3.MTOM,NetPositionNetWiseDetailsV3.Multiplier,NetPositionNetWiseDetailsV3.AvgRate,NetPositionNetWiseDetailsV3.CFQty,NetPositionNetWiseDetailsV3.AvgCFQty,NetPositionNetWiseDetailsV3.LotSize,NetPositionNetWiseDetailsV3.ConvertedQty,NetPositionNetWiseDetailsV3.IsPhysicalDelivery,NetPositionNetWiseDetailsV3.AvgCFPrice
_5PaisaLibrary.NetPositionNetWiseDetailsV3,N,D,54753,NIFTY 23 Jan 2025 PE 22500.00,0,0,0,75,26.2,1965,-75,0,15.2,D,75,16.4,825,1,26.2,0,0,75,0,False,0
_5PaisaLibrary.NetPositionNetWiseDetailsV3,N,C,21690,DIXON,0,0,0,4,17088.14,68352.55,-4,0,17224.45,D,4,16938.9,-545.25,1,17088.14,0,0,1,0,False,0
_5PaisaLibrary.NetPositionNetWiseDetailsV3,N,C,14366,IDEA,0,0,0,3,8.97,26.91,-3,0,9.11,D,3,8.93,-0.42,1,8.97,0,0,1,0,False,0
_5PaisaLibrary.NetPositionNetWiseDetailsV3,N,C,31415,NBCC,0,0,0,2,90.06,180.12,-2,0,95.31,D,2,87.83,-10.5,1,90.06,0,0,1,0,False,0
_5PaisaLibrary.NetPositionNetWiseDetailsV3,N,D,54995,NIFTY 23 Jan 2025 CE 23800.00,0,0,0,75,23.9,1792.5,-75,0,13,D,75,33.55,817.5,1,23.9,0,0,75,0,False,0
_5PaisaLibrary.NetPositionNetWiseDetailsV3,N,C,1964,TRENT,0,0,0,4,6277.85,25111.4,-4,0,6216.55,D,4,6211.55,245.2,1,6277.85,0,0,1,0,False,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
